[     208ms] [WARNING] "shadow*" style props are deprecated. Use "boxShadow". @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[     216ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:104252
[     944ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[ 1180828ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1185833ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1190849ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1195850ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1200847ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1205860ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1210857ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1215867ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1220867ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1225882ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1230880ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1235887ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1240888ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1245900ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1250899ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1255910ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1260908ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1265923ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1270918ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1275933ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1280933ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1285940ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1290940ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1295946ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1300950ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1305964ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
